challenge_id,target_parsed_to_tcp_sent_ns
1502,2580792
1502,2593833
1504,2687958
1507,2523666
1508,10029625
1510,5727542
1511,5439917
1512,4808500
1514,2381458
1514,2382375
1515,3621208
1516,5411250
1519,21252458
1520,3511500
1521,52833
1522,8179209
1523,2616333
1525,3754167
1527,3465958
1528,4825708
1530,10360250
1532,4643291
1533,2349250
1536,2482875
1537,5369916
1538,2648250
1539,2858000
1541,2355083
1542,9457250
1544,4999375
1545,5049000
1547,12305584
1548,3572333
1549,6219792
1550,3787208
1551,4487917
1553,3745875
1555,2628833
1557,5219000
1559,9026166
1561,4711417
1562,4321292
1564,2537500
1565,2323875
1567,4973333
1569,9878125
1571,4911042
1573,3634583
1574,4588125
1576,3185417
1577,4263125
1579,5177084
1581,2579917
1583,11231875
1585,2164750
1586,3254625
1588,2610042
1590,5311542
1592,9706083
1593,2457917
1595,2090542
1598,2767792
1599,9102250
1601,4705500
1603,3701084
1604,6352875
1606,8433000
1607,2309416
1609,4439500
1612,4105208
1614,4928833
1616,2558458
1617,9737125
1619,4303833
1620,2342125
1622,3908084
1623,4639375
1625,4360833
1626,4643334
1628,20876500
1629,4553458
1630,6963083
1631,3476709
1633,3655459
1635,2281834
1636,9708333
1637,2700666
1639,2400583
1641,3634875
1643,2658041
1644,5079583
1647,2269000
1649,4587042
1649,4648459
1651,2474167
1652,2465625
1654,2258667
1655,3697125
1656,4035375
1658,8880417
1660,26315542
1661,2352166
1662,6053875
1663,4587250
1666,5244042
1668,4681708
1669,4347708
1670,2217084
1671,3811542
1674,60584
1675,2653334
1676,10465500
1680,3550209
1682,2265792
1683,10092875
1685,4506709
1687,13183000
1689,5822250
1689,5822875
1690,3808334
1692,3375834
1693,6824667
1695,9658125
1697,4772958
1698,2269500
1700,3446416
1702,3558375
1704,2108167
1705,10881041
1706,2316708
1707,4816584
1708,4886750
1710,4556917
1712,3728000
1713,2227041
1715,2363500
1717,22157542
1717,22187333
1718,1581792
1719,7662834
1719,7729042
1720,3178625
1722,4260833
1724,3514417
1724,3671334
1725,4761958
1726,2408583
1727,18200459
1729,388833
1729,482125
1730,2928292
1731,2408708
1733,3876708
1734,2729542
1735,8730042
1736,2756750
1737,3869125
1738,5041292
1740,4095958
1741,4229666
1743,2580083
1744,3888583
1746,4188792
1747,4873208
1749,4086250
1750,4534666
1751,21916959
1752,3515750
1753,6906417
1754,3827125
1755,4916834
1755,4938125
1757,4074500
1759,90375
1760,4611583
1760,4625667
1761,2687167
1762,2647125
1764,4649542
1765,2346000
1767,3908000
1768,4440458
1770,3248750
1772,4734917
1774,2432834
1776,2649333
1778,4030000
1780,3291292
1782,10848458
1784,76500
1784,94416
1785,4868208
1787,3567250
1789,4013250
1791,10593459
1792,5148417
1793,1729708
1795,57666
1796,2199459
1797,4434625
1798,4603458
1800,4326667
1804,4720084
1806,2787208
1809,53584
1810,2337625
1811,20232834
1812,8432625
1813,3882458
1814,5252834
1815,4649292
1816,2660791
1817,2579292
1819,4441292
1820,2553167
1822,4463833
1823,3123167
1824,2591292
1826,2562166
1828,7444292
1830,9763084
1832,4609958
1833,2442791
1835,69958
1836,2548042
1837,9810125
1840,7520167
1840,7558708
1841,5111667
1843,3937167
1845,4159959
1846,5478334
1848,9606250
1851,3400291
1852,2797291
1855,3905792
1857,2351708
1859,5670167
1861,10170875
1863,5115167
1864,4443250
1866,3690375
1868,2534459
1869,10287917
1871,5023250
1872,3334958
1872,3387500
1874,4265292
1876,12000209
1877,9913375
1878,3352625
1878,3354792
1878,3414417
1881,2610542
1883,4381666
1884,4073667
1886,2937541
1886,2951708
1887,2365500
1889,5584750
1891,10266084
1893,4854917
1894,4840542
1896,2214792
1897,3343292
1898,2682792
1900,5046417
1902,10542000
1904,5148584
1906,4255250
1907,2251875
1909,3821625
1911,3483792
1912,4429166
1914,10624542
1916,4712917
1917,4514125
1919,2776709
1920,2491584
1922,13253250
1924,5329500
1924,5468791
1925,5243000
1925,5278333
1928,5529166
1930,2920375
1931,8414542
1933,5088458
1934,2219417
1936,4577875
1937,2215250
1939,4097250
1941,2481792
1943,4430500
1945,3427458
1946,4012541
1948,2378041
1949,4115167
1950,2253583
1951,3564000
1952,5988917
1954,10237208
1955,2565500
1957,9408083
1958,2313375
1959,3895041
1960,3861708
1961,4083750
1963,3422375
1964,5624458
1966,9590375
1967,2101583
1968,4850083
1971,3955459
1973,3681416
1974,4353791
1976,3411417
1977,3881291
1978,2275333
1980,5826333
1982,8990000
1984,8137833
1984,11665166
1985,9594875
1987,12701667
1988,2074292
1989,4330208
1991,2374084
1993,6066667
1994,2517250
1995,10633458
1996,2239416
1998,4278083
2000,3617125
2001,4070416
2003,37167
2004,5355375
2006,9851833
2008,5106959
2010,52458
2011,3308833
2012,2411625
2014,5828209
2016,9483541
2018,4873750
2020,3208042
2021,2652375
2022,21957125
2023,3445625
2024,7365583
2025,2760333
2026,2442167
2028,4649709
2030,4069875
2031,4680500
2033,4130333
2035,3241000
2037,2320709
2039,2257875
2040,4573750
2041,4679209
2043,2224667
2045,2613000
2046,3209000
2048,2605584
2049,10006459
2050,2441791
2051,4738917
2053,2453000
2054,3686292
2055,3933417
2057,4245292
2058,6299875
2060,9585541
2062,4947625
2063,4482375
2064,3949250
2066,45667
2067,8427542
2069,6999291
2070,3625083
2071,2341709
2073,5057292
2075,10205459
2077,4894417
2079,3239709
2081,4109459
2083,4765917
2085,2678333
2086,11179792
2087,2572709
2090,4008500
2090,4015250
2092,2348542
2093,10107791
2094,2293375
2095,4324000
2097,2420792
2099,5567458
2101,9120667
2103,5298958
2104,312500
2106,4621833
2107,3792167
2109,3306834
2110,2295708
2111,3384834
2112,15701291
2113,5437417
2113,5442959
2114,5049667
2114,5247125
2115,4733417
2116,4486042
2117,4648625
2119,3756292
2121,2500708
2122,3339583
2124,2434458
2125,10569959
2127,5066416
2130,3547167
2132,4272541
2134,3514000
2136,2226708
2138,5593125
2139,2324041
2142,4887583
2144,4182667
2146,3307333
2147,3771500
2148,3179125
2149,2079625
2150,21590208
2150,21634541
2151,5769209
2152,4401792
2154,3337542
2156,4203958
2157,26731791
2158,2265459
2159,5016416
2160,4404833
2161,4446500
2162,2322167
2163,3789000
2165,4506209
2167,4124708
2168,3650000
2170,3422416
2171,6459083
2173,10144000
2175,5756500
2176,4232542
2178,4941416
2179,5359125
2181,14009458
2183,2027083
2184,2510125
2185,8976333
2186,2246875
2187,7037417
2188,204125
2189,3362500
2190,5297208
2191,6796417
2193,5387250
2194,1316916
2195,2656459
2197,321958
2199,6219917
2201,2729750
2203,4566625
2205,3336708
2206,1912875
2208,3803625
2211,3798125
2213,7915833
2214,8673250
2215,1610958
2216,3777417
2216,3909833
2217,6192916
2218,2543417
2220,8282333
2222,45875
2223,4014667
2225,3166500
2226,3773541
2228,1973834
2230,3483958
2231,2643250
2232,4427375
2234,4373875
2235,2301791
2237,2571375
2239,61292
2240,2352000
2241,10116083
2244,2767375
2246,5214916
2246,5216125
2247,2410917
2248,16151833
2249,2653583
2250,7212209
2250,7312500
2252,2959250
2253,3784750
2254,2214625
2256,4271833
2258,5612833
2260,2306667
2261,10084125
2263,4679667
2264,5418917
2266,2132791
2267,4159000
2268,2134125
2270,5800625
2272,10081500
2274,4668333
2275,2329250
2276,3425042
2278,2412542
2279,9755166
2282,3305834
2283,10525833
2284,12072792
2285,3753166
2287,3068708
2287,3079667
2289,2222916
2290,3803167
2290,3803875
2291,5342625
2293,10005750
2294,2755958
2295,4365250
2296,4440458
2297,2693042
2297,2693584
2298,3386750
2300,2384917
2301,3969458
2303,3401750
2305,4134333
2307,10837084
2308,2631375
2311,4237125
2313,4457167
2315,2738083
2317,2228416
2318,10070375
2318,10115833
2320,4936333
2321,2588458
2322,3298791
2324,2153125
2325,13637750
2326,10891667
2327,5529625
2328,4331833
2330,2482209
2332,2502667
2334,5296500
2336,10303917
2338,5189833
2340,2930875
2341,2256042
2343,5165541
2346,4170625
2348,3773750
2348,3774584
2349,5900000
2351,9615250
2353,4470083
2354,4476833
2356,2189708
2357,4188084
2359,3041291
2360,5147958
2362,10509791
2364,4909250
2366,2440875
2367,3167125
2368,4268708
2370,4106667
2371,7454125
2372,12620208
2373,3526958
2374,6165459
2375,4111375
2377,3007750
2378,7231583
2379,2799833
2380,4740292
2381,6268666
2383,10114708
2385,4802083
2387,2369000
2388,3931625
2389,4166750
2390,2079792
2391,2756583
2393,59750
2394,9170792
2396,4484417
2397,4639291
2398,3456958
2400,4681792
2402,2255166
2404,3890250
2406,4716000
2407,5554000
2409,18769167
2410,5893750
2411,2942625
2411,2959625
2412,6166917
2413,4281833
2414,1968708
2415,4743541
2417,2269208
2418,10373000
2420,5092875
2420,5169375
2421,4405875
2422,3723417
2424,5119250
2426,2104042
2428,4308750
2430,8512584
2431,2282375
2432,4399834
2434,5273000
2435,5105166
2437,9185500
2439,4675833
2440,4342625
2442,2267666
2443,4143958
2445,2037791
2446,3132125
2448,4026875
2449,3990584
2451,2690833
2454,8201875
2454,8211583
2455,5022084
2456,5436000
2457,2380875
2459,4566042
2460,4370291
2462,3489458
2464,2557583
2465,9740834
2468,2780750
2470,4106417
2472,3232250
2474,4479375
2474,4481083
2476,3935584
2476,3938667
2477,5384958
2479,11035750
2481,4512167
2483,2769208
2483,2795417
2484,6896959
2485,2369334
2486,6074542
2487,4022250
2487,4055250
2489,3197125
2490,6774667
2492,7860458
2494,4499375
2496,2526834
2497,5300459
2498,4541250
2499,2108708
2500,4097334
2502,23971458
2502,23976083
2503,6764667
2504,3697042
2505,2734542
2506,3763959
2508,2668958
2509,10250541
2511,5229250
2512,4833542
2514,2328500
2515,3685917
2517,4526375
2518,5515166
2520,9651084
2521,2592042
2522,4634833
2524,4152083
2525,31876750
2526,144791
2527,800917
2528,20200041
2530,54235667
2532,3530792
2534,4869000
2535,5395417
2535,5396667
2537,6596000
2538,3125584
2539,2887834
2540,3953791
2541,5800709
2542,3009583
2544,4230375
2545,5179875
2547,4173083
2549,10557333
2550,2216542
2551,4933333
2552,7431208
2553,2643750
2554,5911125
2555,5970125
2556,28485458
2556,28573167
2557,6682167
2559,4602958
2560,5597875
2561,2716333
2561,2737000
2562,4087792
2564,2052083
2565,3525208
2566,5434375
2568,8438667
2568,8462917
2570,6297375
2571,4348709
2573,4095708
2575,11209292
2577,4586250
2578,4255625
2579,2599083
2581,7096542
2583,10447792
2584,2898167
2585,4414333
2587,3058833
2588,18004500
2589,6426083
2591,4148500
2592,4121584
2594,2947166
2596,2410292
2597,8986917
2599,5184791
2601,3905167
2603,2003667
2603,2081917
2604,2787458
2606,5482334
2607,2112875
2609,2346083
2610,3503375
