udp_arrival_to_queue_ns,queue_duration_ns,worker_processing_ns
41,959,36959
41,3500,31625
1041,1334,27041
84,250,29458
83,417,29000
42,541,28167
41,2459,38250
208,958,78834
83,8625,32833
125,1083,28709
125,667,28292
291,625,28125
83,1417,28333
42,4750,28833
41,4459,29375
42,3416,27958
125,1000,43208
83,1417,37834
41,375,30042
83,834,26792
84,1375,27584
83,2042,27750
84,1791,72292
584,916,38834
84,708,28042
41,542,31083
83,875,26958
125,833,32167
42,375,30458
84,416,29917
416,875,27458
83,667,29125
83,458,92708
83,875,68250
42,29708,29375
83,10584,28959
125,1166,30875
292,6208,32958
1042,14916,26292
83,48583,25667
125,43125,26042
125,63083,33417
42,3042,37750
125,47542,107083
125,4333,82833
84,2708,41666
42,2708,41292
125,10792,35667
333,3125,34167
167,1167,108541
791,2000,75917
83,5834,41666
292,1250,38541
166,6917,39042
166,667,103916
166,5084,29875
125,4292,33708
375,2125,73625
125,17750,94208
416,18625,93708
83,3250,34458
166,1625,88583
84,2625,62708
375,3000,28792
42,3458,26875
42,29000,27667
42,13000,27250
42,4625,26792
0,9916,29125
41,59667,53625
42,109875,24916
41,2209,25375
42,1958,26667
42,2208,31500
83,63750,25250
41,6792,25541
1583,457042,34666
83,16625,33500
125,625,29292
83,917,27833
83,583,106417
83,17834,45625
42,416,183958
83,34917,27792
333,19709,26500
125,11292,32125
84,3166,30958
83,1459,30167
83,2833,30334
500,13667,75583
292,15125,52291
375,29042,100542
41,15500,107167
83,1625,50625
167,10250,29333
42,1291,31000
83,1042,29958
84,2041,30083
84,875,32084
84,916,92958
41,16750,41375
541,1250,21625
1375,10625,81209
333,10292,141125
458,8459,34708
333,3542,59292
167,6250,90000
83,4209,36708
167,750,80000
42,1958,34208
42,708,74750
333,1917,28708
417,1708,27250
209,6791,131000
125,4292,29542
1417,55833,35334
708,188208,31375
292,24083,27916
750,172209,28834
750,39166,31375
584,37041,30209
542,131083,30375
583,2833,28459
1125,195292,29542
708,4125,28167
709,21291,30667
209,35500,26458
583,180042,26292
500,3584,31708
709,1833,34083
42,917,52292
125,750,28042
41,2917,77542
42,22583,30042
42,26250,62083
41,1375,52000
792,1000,58750
83,33917,28125
625,10625,119334
42,4583,32541
83,2125,78625
1791,59167,88292
167,181708,61125
166,210709,75292
