challenge_id,target_parsed_to_tcp_sent_ns
1599,4975166
1598,44875
1600,2634750
1601,721958
1600,840292
1601,719541
1604,961041
1603,581750
1605,2045208
1606,464167
1605,2960208
1606,1040292
1608,2987791
1607,584000
1609,3082750
1608,4492667
1610,2053666
1609,399542
1611,510375
1610,118542
1611,940750
1613,3098000
1613,3098416
1613,3134833
1613,1161834
1614,2505166
1616,2658291
1615,291125
1618,302917
1617,2349167
1619,3715541
1618,160500
1619,1675750
1622,280166
1620,3823042
1623,2087166
1622,246750
1625,342375
1623,1963667
1626,708250
1624,2507625
1625,35792
1629,5760375
1627,105375
1628,1374334
1630,2341250
1629,231375
1632,1362917
1630,139042
1631,1921167
1632,4082709
1633,3005000
1634,2651750
1634,248459
1636,2639000
1635,3687417
1636,2503208
1638,2660459
1639,3199167
1640,2210709
1640,1342250
1642,1420250
1643,150834
1642,4798041
1643,204000
1644,1544750
1645,2624292
1647,1193958
1647,1194750
1645,1203416
1648,731416
1646,180584
1647,2199500
1648,4062292
1649,2571083
1650,2791542
1651,2471833
1650,3437459
1652,1134292
1655,617584
1653,2934750
1654,42875
1654,54375
1656,2498667
1656,2543917
1656,1095625
1658,3848458
1658,3871833
1659,2328000
1659,136333
1660,495042
1660,514625
1663,2511083
1663,2586625
1662,543417
1663,429500
1665,9189500
1665,9216292
1664,109333
1667,2715750
1667,2767166
1667,2767750
1666,1186375
1668,1261708
1667,1207333
1669,2524500
1669,2546375
1670,994458
1669,2326125
1671,3053959
1670,91125
1672,2389084
1672,2389834
1672,2425417
1673,3162375
1673,3162917
1672,1909500
1674,2071167
1673,2332334
1674,3992959
1676,960708
1675,1407541
1677,2764958
1677,4312083
1677,4353083
1678,2561000
1678,876417
1680,2062583
1679,319833
1681,3845250
1680,107667
1684,1561583
1684,1611041
1683,67166
1684,2782042
1685,2485542
1685,2513500
1685,1329833
1687,1454791
1686,882583
1688,9220458
1689,376875
1688,226917
1689,295000
1690,268083
1691,2855083
1693,1391334
1694,213667
1695,4445292
1695,4463083
1695,3395125
1695,3973000
1697,2542167
1698,2669667
1697,1106375
1699,1328292
1700,3518666
1700,1738500
1701,2515917
1702,3919750
1702,3976292
1701,91750
1701,160417
1701,161375
1703,1842542
1703,1869459
1702,1548833
1704,171125
1703,3492792
1705,1402000
1704,1031500
1706,708666
1706,716166
1705,1016458
1707,1160416
1706,1061333
1708,2599500
1708,2608458
1709,1604625
1709,890625
1711,6665417
1711,1393333
1712,2463084
1712,2463834
1713,3812292
1714,2681000
1713,3592125
1714,1234209
1715,2070167
1715,2081542
1716,2513500
1717,949500
1719,1336459
1720,1611000
1720,5320958
1721,2596292
1722,2640792
1722,2661875
1721,1275000
1723,2402917
1724,3565375
1725,1901583
1723,1272208
1724,122959
1725,5046667
1727,1770458
1728,2539667
1729,968333
1729,2010542
1730,1881333
1732,2764250
1732,2764875
1731,744834
1733,2297375
1732,1592500
1733,1212542
1735,4967791
1734,1589833
1735,2812541
1736,2634542
1737,1048375
1738,1489459
1738,2750209
1739,2507667
1740,387250
1742,2414875
1742,2443958
1741,860333
1743,1387000
1742,910291
1743,2021958
1744,4570666
1746,3873459
1747,2630625
1748,111083
1750,2517958
1749,79166
1750,3750917
1750,3769375
1751,1245209
1753,3928458
1754,123583
1755,1612000
1755,1037000
1757,3898125
1758,2557292
1756,172667
1757,168125
1759,1216708
1761,464042
1760,40791
1761,1027958
1762,72167
1763,4063000
1765,3906209
1764,2393000
1765,2212500
1766,2889000
1768,22250
1769,3808542
1768,36666
1769,107125
1771,2409291
1770,1082125
1772,4401459
1773,321584
1771,1730750
1773,606167
1775,2472958
1776,3082375
1776,3099000
1777,66666
1776,967875
1777,101417
1779,3365583
1780,2577291
1782,1362750
1781,1157458
1783,3686958
1782,3810000
1785,4223000
1784,4271625
1785,132833
1788,2227791
1788,1253334
1789,1683792
1791,3787708
1791,3788375
1791,2263125
